cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
11, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
12, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
13, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
14, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
15, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
16, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
17, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
18, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
19, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
20, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
21, 4, 0x02, "set y 0x04 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000004, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
22, 5, 0x03, "pull block side 0x03", 1, 1, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
23, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
24, 7, 0x05, "delay", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
25, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
26, 8, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 32, 0xffff7ffe, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
27, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
28, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
29, 5, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
30, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
31, 7, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
32, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
33, 8, 0x06, "in x 0x20", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 32, 0xffff7ffd, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
34, 9, 0x07, "push block side 0x05", 1, 0, 1, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
35, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000002, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
36, 5, 0x03, "pull block side 0x03", 1, 1, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000002, 0, 0x00000000, 0, 0x00008003, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
37, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 0, 0x00000000, 0, 0x00008003, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
38, 7, 0x05, "delay", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 0, 0x00000000, 0, 0x00008003, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
39, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 0, 0x00000000, 1, 0x00004001, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
40, 8, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 32, 0xffff7ffc, 1, 0x00004001, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
41, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 0, 0x00000000, 1, 0x00004001, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
42, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000001, 0, 0x00000000, 1, 0x00004001, 1, 0x00008004, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
43, 5, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000001, 0, 0x00000000, 0, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
44, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 0, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
45, 7, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 0, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
46, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
47, 8, 0x06, "in x 0x20", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 32, 0xffff7ffb, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0x00000000
48, 9, 0x07, "push block side 0x05", 1, 0, 1, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
49, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000000, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
50, 5, 0x03, "pull block side 0x03", 1, 1, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
51, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
52, 7, 0x05, "delay", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
53, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
54, 8, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
55, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
56, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
57, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
58, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
59, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffe, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb
60, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb, 0xffff7ffa
61, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffd, 0xffff7ffc, 0xffff7ffb, 0xffff7ffa
62, 11, 0x09, "in y 0x20 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 32, 0xffffffff, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffc, 0xffff7ffb, 0xffff7ffa, 0x00000000
63, 12, 0x0a, "push block side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 4, 0xffff7ffc, 0xffff7ffb, 0xffff7ffa, 0xffffffff
64, 13, 0x0b, "irq wait 1 side 0x00", 0, 0, 0, 1, 1, 0, 0x02, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffb, 0xffff7ffa, 0xffffffff, 0x00000000
65, 13, 0x0b, "irq wait 1 side 0x00", 0, 0, 0, 1, 1, 0, 0x02, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffb, 0xffff7ffa, 0xffffffff, 0x00000000
66, 13, 0x0b, "irq wait 1 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffa, 0xffffffff, 0x00000000, 0x00000000
67, 14, 0x0c, "wait 0 pin 0x01 side 0x06", 0, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffa, 0xffffffff, 0x00000000, 0x00000000
68, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
69, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
70, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
71, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
72, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
73, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
74, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
75, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
76, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
77, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
78, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
79, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
80, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
81, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
82, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
83, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
84, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
85, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
86, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
87, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
88, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
89, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
90, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
91, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
92, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
93, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
94, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
95, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
96, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
97, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
98, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
99, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
100, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 1, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
101, 2, 0x00, "wait 0 pin 0x00 side 0x01", 1, 0, 0, 1, 0, 1, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
