cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
168, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
169, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
170, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
171, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
172, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
173, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
174, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
175, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
176, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
177, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
178, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
179, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
180, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
181, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
182, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
183, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
184, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
185, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
186, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
187, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
188, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
189, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
190, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
191, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
192, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
193, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
194, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
195, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
196, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
197, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
198, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
199, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
200, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
